,0
0,960
1,959
2,956
3,957
4,955
5,950
6,949
7,948
8,947
9,940
10,939
11,937
12,936
13,935
14,934
15,933
16,931
17,930
18,922
19,919
20,918
21,917
22,916
23,913
24,912
25,909
26,908
27,907
28,906
29,902
30,901
31,900
32,899
33,898
34,897
35,896
36,895
37,894
38,892
39,891
40,890
41,889
42,887
43,879
44,878
45,877
46,876
47,875
